id	c_type	field	class	owner	release_rule	source_path	source_lines	author	reviewer_1	reviewer_2	status
program-own-015	block_take_imports	body import nodes	transferred then destroyed	block_take_imports	each leading import node is detached, its constant is copied into the returned array, and the node is freed	upstream/jq/src/compile.c	483-498	codex-facts-program			proposed
program-own-016	bytecode	code	owned buffer	the bytecode function	allocated with jv_mem_calloc during compilation and released by bytecode_free with jv_mem_free	upstream/jq/src/compile.c	1290-1292	codex-facts-program			proposed
program-own-017	bytecode	constants	owned reference-counted jv array	the bytecode function	the compiler transfers the completed constant_pool into the field and bytecode_free calls jv_free	upstream/jq/src/compile.c	1293-1345	codex-facts-program			proposed
program-own-018	bytecode	debuginfo	owned reference-counted jv object	the bytecode function	created or extended during compilation and released by bytecode_free with jv_free	upstream/jq/src/compile.c	1261-1282	codex-facts-program			proposed
program-own-019	bytecode	subfunctions	owned pointer buffer and owned child bytecodes	the parent bytecode function	bytecode_free recursively frees every child and then releases the pointer buffer	upstream/jq/src/bytecode.c	149-160	codex-facts-program			proposed
program-own-020	bytecode	parent	borrowed pointer	the parent bytecode function	no direct release occurs; recursive root-owned destruction frees children before the parent storage itself	upstream/jq/src/bytecode.c	149-160	codex-facts-program			proposed
program-own-021	bytecode	globals	owned at root and aliased by children	the root bytecode function	child compilation copies the pointer; bytecode_free releases the symbol table only when parent is null	upstream/jq/src/compile.c	1263-1271	codex-facts-program			proposed
program-own-022	symbol_table	cfunctions	owned buffer	the root symbol table	block_compile allocates capacity and symbol_table_free releases the buffer with jv_mem_free	upstream/jq/src/compile.c	1349-1357	codex-facts-program			proposed
program-own-023	symbol_table	cfunc_names	owned reference-counted jv array	the root symbol table	block_compile initializes the array, compilation appends names, and symbol_table_free calls jv_free	upstream/jq/src/bytecode.c	58-62	codex-facts-program			proposed
program-own-024	block_compile	b	transferred	block_compile and recursive compile	compile appends RET, consumes nested bodies, then calls block_free on the resulting block on both successful emission and compile-error paths	upstream/jq/src/compile.c	1214-1221	codex-facts-program			proposed
program-own-025	block_compile	args	transferred	block_compile	compile borrows it during expansion and block_compile calls jv_free after recursive compilation completes	upstream/jq/src/compile.c	1349-1363	codex-facts-program			proposed
program-own-026	block_compile	out bytecode	transferred on success	the caller	on failure bytecode_free releases the partial tree and out becomes null; on success the caller receives the root and must call bytecode_free	upstream/jq/src/compile.c	1360-1370	codex-facts-program			proposed
program-own-027	compile	env	owned optional reference-counted jv	block_compile	make_env may place a copied environment object in the shared slot and block_compile releases the slot after recursive compilation	upstream/jq/src/compile.c	1104-1121	codex-facts-program			proposed
program-own-028	disassembler	jv names and metadata	reference-counted temporary copies	the disassembly call	each lookup uses jv_copy as needed and releases the returned name or metadata with jv_free after printing	upstream/jq/src/bytecode.c	64-84	codex-facts-program			proposed
program-own-029	lib_loading_state	names	owned growable array of owned strings	load_program	each path is duplicated, then load_program frees each string and the array after dependency processing	upstream/jq/src/linker.c	369-378	codex-facts-program			proposed
program-own-030	lib_loading_state	defs	owned growable array of blocks	load_program	successful non-constant blocks transfer into libs; failed or constant blocks are freed; the defs array is then freed	upstream/jq/src/linker.c	435-445	codex-facts-program			proposed
program-own-031	load_library	out_block	aliased block value	the caller and lib_loading_state	the same program block is stored in lib_state and copied to out_block without cloning; callers bind through it but centralized load_program cleanup owns final disposition	upstream/jq/src/linker.c	369-378	codex-facts-program			proposed
program-own-032	process_dependencies	as_str	borrowed string pointer	the local jv as value	the pointer aliases jv string storage and is used only until jv_free(as) at the end of that dependency iteration	upstream/jq/src/linker.c	252-269	codex-facts-program			proposed
program-own-033	load_library	lib_path	transferred	load_library	all branches converge on jv_free(lib_path) before return	upstream/jq/src/linker.c	331-378	codex-facts-program			proposed
program-own-034	load_library	data	owned reference-counted jv	load_library	file contents or error storage is released with jv_free on the common exit path	upstream/jq/src/linker.c	331-378	codex-facts-program			proposed
